Country,Year,Value
France,1998,42
France,1999,46
France,2000,47
France,2001,44
France,2002,42
France,2003,45
France,2004,51
France,2005,49
France,2006,47
France,2007,43
France,2008,47
France,2009,48
France,2010,48
France,2011,51
France,2012,52
France,2013,49
France,2014,48
France,2015,47
France,2016,46
France,2017,42
France,2018,53
